channel,date,start,title,rating,year
dajto,2025-10-04,05:05,Bernieho dobrodružstvá,76%,2022
dajto,2025-10-04,05:15,Zig a Sharko,72%,2023
dajto,2025-10-04,06:00,Je to možné?!,62%,
dajto,2025-10-04,06:55,Susedia,85%,2019
dajto,2025-10-04,07:30,Susedia,85%,2019
dajto,2025-10-04,08:10,Kredenc,64%,2017
dajto,2025-10-04,09:05,Partička,56%,
dajto,2025-10-04,09:40,Horná Dolná15,77%,2022
dajto,2025-10-04,10:50,Dva a pol chlapa11,71%,2007
dajto,2025-10-04,11:25,Dva a pol chlapa12,71%,2007
dajto,2025-10-04,11:55,Dva a pol chlapa14,71%,2007
dajto,2025-10-04,12:15,Dva a pol chlapa15,71%,2007
dajto,2025-10-04,12:55,Teória veľkého tresku19,68%,2015
dajto,2025-10-04,13:25,Teória veľkého tresku20,68%,2015
dajto,2025-10-04,13:50,Teória veľkého tresku21,68%,2015
dajto,2025-10-04,14:15,Teória veľkého tresku22,68%,2015
dajto,2025-10-04,14:45,Teória veľkého tresku23,68%,2015
dajto,2025-10-04,15:00,Teória veľkého tresku24,62%,2015
dajto,2025-10-04,15:30,Priatelia12,71%,2001
dajto,2025-10-04,16:00,Priatelia13,71%,2001
dajto,2025-10-04,16:25,Dva a pol chlapa16,71%,2007
dajto,2025-10-04,16:55,Dva a pol chlapa18,71%,2007
dajto,2025-10-04,17:25,2 baby na mizine23,77%,2012
dajto,2025-10-04,17:55,Horná Dolná16,77%,2022
dajto,2025-10-04,19:05,Susedia,85%,2019
dajto,2025-10-04,20:05,Niké liga: Žilina - Košice,66%,2025
dajto,2025-10-04,22:35,Rocky,76%,1985
dajto,2025-10-04,00:20,Športové noviny,64%,
dajto,2025-10-04,00:35,Susedia,85%,2019
dajto,2025-10-04,01:15,Horná Dolná14,77%,2022
dajto,2025-10-04,02:05,Horná Dolná15,77%,2022
dajto,2025-10-04,03:00,Smiechoty,61%,
dajto,2025-10-04,04:15,Oggy a šváby,71%,2021
prima-sk,2025-10-04,05:00,Nikdo není dokonalý,56%,
prima-sk,2025-10-04,06:10,Receptář prima nápadů,67%,
prima-sk,2025-10-04,07:05,Vychytávky Ládi Hrušky,70%,
prima-sk,2025-10-04,07:40,Show Jana Krause,73%,
prima-sk,2025-10-04,08:45,Slunečná18,83%,2020
prima-sk,2025-10-04,10:10,Cesty domů25,60%,2014
prima-sk,2025-10-04,11:30,Váš prima receptář,57%,
prima-sk,2025-10-04,12:25,Libovky Pepy Libického,54%,
prima-sk,2025-10-04,12:40,Slunečná19,82%,2020
prima-sk,2025-10-04,14:05,Cesty domů26,60%,2014
prima-sk,2025-10-04,15:25,Máme rádi Česko,67%,
prima-sk,2025-10-04,17:05,VIP Prostřeno!,60%,
prima-sk,2025-10-04,18:40,Zrádci,70%,
prima-sk,2025-10-04,20:15,Polda5,88%,2016
prima-sk,2025-10-04,21:25,Mladá krev6,85%,2025
prima-sk,2025-10-04,22:45,Receptář prima nápadů,67%,
prima-sk,2025-10-04,23:30,Vychytávky Ládi Hrušky,70%,
prima-sk,2025-10-04,00:05,Show Jana Krause,73%,
prima-sk,2025-10-04,00:55,VIP Prostřeno!,60%,
prima-sk,2025-10-04,02:05,Slunečná18,83%,2020
prima-sk,2025-10-04,03:10,Cesty domů25,60%,2014
prima-sk,2025-10-04,04:05,Nikdo není dokonalý,56%,
markiza-krimi,2025-10-04,05:30,Policajné prípady,66%,
markiza-krimi,2025-10-04,06:15,Policajné prípady,66%,
markiza-krimi,2025-10-04,06:55,Policajné prípady,66%,
markiza-krimi,2025-10-04,07:35,Policajné prípady,66%,
markiza-krimi,2025-10-04,08:20,V mene zákona,60%,
markiza-krimi,2025-10-04,09:10,Špecialisti19,79%,2019
markiza-krimi,2025-10-04,09:55,Špecialisti20,79%,2019
markiza-krimi,2025-10-04,11:00,Vraždy v raji7,77%,2020
markiza-krimi,2025-10-04,11:50,Vraždy v raji8,81%,2020
markiza-krimi,2025-10-04,12:55,Vraždy v raji1,77%,2021
markiza-krimi,2025-10-04,14:30,Slečna Marplová1,73%,2007
markiza-krimi,2025-10-04,16:30,Polícia Chicago23,77%,2014
markiza-krimi,2025-10-04,17:30,Polícia Chicago1,76%,2015
markiza-krimi,2025-10-04,18:20,Blanca1,77%,2023
markiza-krimi,2025-10-04,19:40,Blanca2,81%,2023
markiza-krimi,2025-10-04,20:55,Špecialisti21,80%,2019
markiza-krimi,2025-10-04,21:55,Špecialisti22,79%,2019
markiza-krimi,2025-10-04,23:00,Polícia Chicago23,77%,2014
markiza-krimi,2025-10-04,23:55,Polícia Chicago1,76%,2015
markiza-krimi,2025-10-04,00:35,Špecialisti21,80%,2019
markiza-krimi,2025-10-04,01:25,Špecialisti22,79%,2019
markiza-krimi,2025-10-04,02:10,Blanca1,77%,2023
markiza-krimi,2025-10-04,02:55,Blanca2,81%,2023
markiza-krimi,2025-10-04,03:50,112,63%,
markiza-krimi,2025-10-04,04:35,Policajné prípady,66%,
dajto,2025-10-05,05:00,Zig a Sharko,72%,2023
dajto,2025-10-05,06:00,Je to možné?!,62%,
dajto,2025-10-05,06:45,Susedia,85%,2019
dajto,2025-10-05,07:20,Susedia,85%,2019
dajto,2025-10-05,08:00,Kredenc,64%,2017
dajto,2025-10-05,09:05,Partička,56%,
dajto,2025-10-05,09:40,Horná Dolná16,77%,2022
dajto,2025-10-05,10:50,Dva a pol chlapa14,71%,2007
dajto,2025-10-05,11:25,Dva a pol chlapa15,71%,2007
dajto,2025-10-05,11:55,Dva a pol chlapa16,71%,2007
dajto,2025-10-05,12:15,Dva a pol chlapa18,71%,2007
dajto,2025-10-05,13:00,Teória veľkého tresku21,68%,2015
dajto,2025-10-05,13:25,Teória veľkého tresku22,68%,2015
dajto,2025-10-05,13:50,Teória veľkého tresku23,68%,2015
dajto,2025-10-05,14:20,Teória veľkého tresku24,62%,2015
dajto,2025-10-05,14:45,Teória veľkého tresku1,68%,2016
dajto,2025-10-05,15:05,Teória veľkého tresku2,68%,2016
dajto,2025-10-05,15:30,Priatelia14,71%,2001
dajto,2025-10-05,16:00,Priatelia15,71%,2001
dajto,2025-10-05,16:30,Dva a pol chlapa19,71%,2007
dajto,2025-10-05,17:00,Dva a pol chlapa1,72%,2008
dajto,2025-10-05,17:25,2 baby na mizine1,77%,2013
dajto,2025-10-05,17:55,2 baby na mizine2,75%,2013
dajto,2025-10-05,18:25,Horná Dolná1,80%,2015
dajto,2025-10-05,19:35,Susedia,85%,2019
dajto,2025-10-05,20:30,Smrtonosná zbraň 4,78%,1998
dajto,2025-10-05,23:05,Góóól!,66%,
dajto,2025-10-05,00:05,Policajná akadémia 4,76%,1987
dajto,2025-10-05,01:20,Športové noviny,64%,
dajto,2025-10-05,01:35,Susedia,85%,2019
dajto,2025-10-05,02:15,Horná Dolná16,77%,2022
dajto,2025-10-05,03:10,Smiechoty,61%,
dajto,2025-10-05,04:20,Oggy a šváby,71%,2021
prima-sk,2025-10-05,06:35,Váš prima receptář,57%,
prima-sk,2025-10-05,07:35,Libovky Pepy Libického,54%,
prima-sk,2025-10-05,07:50,Show Jana Krause,73%,
prima-sk,2025-10-05,08:55,Slunečná19,82%,2020
prima-sk,2025-10-05,10:20,Cesty domů26,60%,2014
prima-sk,2025-10-05,11:40,Receptář prima nápadů,67%,
prima-sk,2025-10-05,12:25,Vychytávky Ládi Hrušky,70%,
prima-sk,2025-10-05,13:00,Slunečná20,83%,2020
prima-sk,2025-10-05,14:25,Cesty domů27,60%,2014
prima-sk,2025-10-05,15:35,Máme rádi Česko,67%,
prima-sk,2025-10-05,17:25,VIP Prostřeno!,60%,
prima-sk,2025-10-05,19:00,Polda5,88%,2016
prima-sk,2025-10-05,20:15,Polda6,87%,2016
prima-sk,2025-10-05,21:25,Zrádci,70%,
prima-sk,2025-10-05,22:55,Zrádci: Ze záhrobí,60%,
prima-sk,2025-10-05,23:35,Receptář prima nápadů,67%,
prima-sk,2025-10-05,00:20,Vychytávky Ládi Hrušky,70%,
prima-sk,2025-10-05,00:50,Show Jana Krause,73%,
prima-sk,2025-10-05,01:40,VIP Prostřeno!,60%,
prima-sk,2025-10-05,02:50,Slunečná19,82%,2020
prima-sk,2025-10-05,03:55,Cesty domů26,60%,2014
prima-sk,2025-10-05,04:55,Nikdo není dokonalý,56%,
markiza-krimi,2025-10-05,05:20,Policajné prípady,66%,
markiza-krimi,2025-10-05,06:05,Policajné prípady,66%,
markiza-krimi,2025-10-05,06:50,Policajné prípady,66%,
markiza-krimi,2025-10-05,07:35,Policajné prípady,66%,
markiza-krimi,2025-10-05,08:20,V mene zákona,60%,
markiza-krimi,2025-10-05,09:10,Špecialisti21,80%,2019
markiza-krimi,2025-10-05,09:55,Špecialisti22,79%,2019
markiza-krimi,2025-10-05,10:55,Vraždy v raji2,82%,2021
markiza-krimi,2025-10-05,11:45,Vraždy v raji3,76%,2021
markiza-krimi,2025-10-05,12:55,Vraždy v raji4,78%,2021
markiza-krimi,2025-10-05,14:30,Slečna Marplová2,74%,2007
markiza-krimi,2025-10-05,16:30,Polícia Chicago2,77%,2015
markiza-krimi,2025-10-05,17:20,Polícia Chicago3,77%,2015
markiza-krimi,2025-10-05,18:20,Blanca3,77%,2023
