channel,date,start,title,rating,year,season,episode
dajto,2025-10-11,05:10,Bernieho dobrodružstvá,76%,2022,,
dajto,2025-10-11,05:20,Zig a Sharko,72%,2023,,
dajto,2025-10-11,06:00,Je to možné?!,62%,,,
dajto,2025-10-11,07:00,Susedia,85%,2019,,
dajto,2025-10-11,07:35,Susedia,85%,2019,,
dajto,2025-10-11,08:10,Kredenc,57%,2018,,
dajto,2025-10-11,09:30,Partička,56%,,,
dajto,2025-10-11,10:00,Horná Dolná6,80%,2015,1,6
dajto,2025-10-11,11:05,Dva a pol chlapa8,71%,2008,6,8
dajto,2025-10-11,11:45,Dva a pol chlapa9,71%,2008,6,9
dajto,2025-10-11,12:05,Dva a pol chlapa10,71%,2008,6,10
dajto,2025-10-11,12:25,Dva a pol chlapa11,71%,2008,6,11
dajto,2025-10-11,13:10,Teória veľkého tresku9,68%,2016,10,9
dajto,2025-10-11,13:35,Teória veľkého tresku10,68%,2016,10,10
dajto,2025-10-11,14:00,Teória veľkého tresku11,68%,2016,10,11
dajto,2025-10-11,14:30,Teória veľkého tresku12,74%,2016,10,12
dajto,2025-10-11,14:55,Teória veľkého tresku13,62%,2016,10,13
dajto,2025-10-11,15:20,Teória veľkého tresku14,62%,2016,10,14
dajto,2025-10-11,15:50,Priatelia22,71%,2001,8,22
dajto,2025-10-11,16:20,Priatelia23,71%,2001,8,23
dajto,2025-10-11,16:50,Dva a pol chlapa12,71%,2008,6,12
dajto,2025-10-11,17:15,Dva a pol chlapa13,71%,2008,6,13
dajto,2025-10-11,17:45,2 baby na mizine10,77%,2013,3,10
dajto,2025-10-11,18:05,2 baby na mizine11,74%,2013,3,11
dajto,2025-10-11,18:30,Horná Dolná7,80%,2015,1,7
dajto,2025-10-11,19:30,Susedia,85%,2019,,
dajto,2025-10-11,20:30,Mechanik zabijak,88%,2011,,
dajto,2025-10-11,22:00,NHL: Calgary Flames – St. Louis Blues,72%,2025,,
dajto,2025-10-11,00:25,Športové noviny,64%,,,
dajto,2025-10-11,00:35,Susedia,85%,2019,,
dajto,2025-10-11,01:10,Horná Dolná6,80%,2015,1,6
dajto,2025-10-11,01:55,Smiechoty,61%,,,
dajto,2025-10-11,04:25,Oggy a šváby,71%,2021,,
prima-sk,2025-10-11,05:00,Nikdo není dokonalý,56%,,,
prima-sk,2025-10-11,06:00,Vodní kolo,49%,,,
prima-sk,2025-10-11,06:35,Receptář prima nápadů,67%,,,
prima-sk,2025-10-11,07:30,Vychytávky Ládi Hrušky,70%,,,
prima-sk,2025-10-11,08:05,Show Jana Krause,73%,,,
prima-sk,2025-10-11,09:10,Slunečná25,83%,2020,1,25
prima-sk,2025-10-11,10:30,Cesty domů32,60%,2014,2,32
prima-sk,2025-10-11,11:50,Váš prima receptář,57%,,,
prima-sk,2025-10-11,12:45,Libovky Pepy Libického,54%,,,
prima-sk,2025-10-11,13:00,Slunečná26,83%,2020,1,26
prima-sk,2025-10-11,14:20,Cesty domů33,60%,2015,3,33
prima-sk,2025-10-11,15:30,Máme rádi Česko,67%,,,
prima-sk,2025-10-11,17:20,VIP Prostřeno!,60%,,,
prima-sk,2025-10-11,18:50,Zrádci,70%,,,
prima-sk,2025-10-11,20:15,Polda7,88%,2016,1,7
prima-sk,2025-10-11,21:30,Mladá krev7,85%,2025,1,7
prima-sk,2025-10-11,22:50,Receptář prima nápadů,67%,,,
prima-sk,2025-10-11,23:35,Vychytávky Ládi Hrušky,70%,,,
prima-sk,2025-10-11,00:10,Show Jana Krause,73%,,,
prima-sk,2025-10-11,01:00,VIP Prostřeno!,60%,,,
prima-sk,2025-10-11,02:10,Slunečná25,83%,2020,1,25
prima-sk,2025-10-11,03:15,Cesty domů32,60%,2014,2,32
prima-sk,2025-10-11,04:10,Nikdo není dokonalý,56%,,,
markiza-krimi,2025-10-11,05:45,Policajné prípady,66%,,,
markiza-krimi,2025-10-11,06:25,Policajné prípady,66%,,,
markiza-krimi,2025-10-11,07:10,Policajné prípady,66%,,,
markiza-krimi,2025-10-11,07:50,Policajné prípady,66%,,,
markiza-krimi,2025-10-11,08:35,V mene zákona,60%,,,
markiza-krimi,2025-10-11,09:20,Špecialisti25,79%,2019,5,25
markiza-krimi,2025-10-11,10:20,Špecialisti26,79%,2019,5,26
markiza-krimi,2025-10-11,11:10,Vraždy v raji7,78%,2021,10,7
markiza-krimi,2025-10-11,12:15,Vraždy v raji8,78%,2021,10,8
markiza-krimi,2025-10-11,13:20,Vraždy v raji1,80%,2022,11,1
markiza-krimi,2025-10-11,14:30,Slečna Marplová3,72%,2007,3,3
markiza-krimi,2025-10-11,16:30,Polícia Chicago4,77%,2015,3,4
markiza-krimi,2025-10-11,17:30,Polícia Chicago5,77%,2015,3,5
markiza-krimi,2025-10-11,18:20,Blanca5,77%,2023,2,5
markiza-krimi,2025-10-11,19:30,Blanca6,80%,2023,2,6
markiza-krimi,2025-10-11,20:55,Špecialisti27,79%,2019,5,27
markiza-krimi,2025-10-11,22:00,Špecialisti28,79%,2019,5,28
markiza-krimi,2025-10-11,23:05,Polícia Chicago4,77%,2015,3,4
markiza-krimi,2025-10-11,00:00,Polícia Chicago5,77%,2015,3,5
markiza-krimi,2025-10-11,00:40,Špecialisti27,79%,2019,5,27
markiza-krimi,2025-10-11,01:25,Špecialisti28,79%,2019,5,28
markiza-krimi,2025-10-11,02:15,Blanca5,77%,2023,2,5
markiza-krimi,2025-10-11,03:00,Blanca6,80%,2023,2,6
markiza-krimi,2025-10-11,04:00,112,63%,,,
markiza-krimi,2025-10-11,04:45,Policajné prípady,66%,,,
